borough,crime_count,population_2021,crimes_per_1000_people
Westminster,31981,211365,151.31
Camden,15860,210390,75.38
Islington,13229,216767,61.03
"Kensington and Chelsea",8364,143940,58.11
Southwark,15130,306374,49.38
Hammersmith,8408,183295,45.87
Hackney,11904,259956,45.79
Lambeth,14454,316812,45.62
"Tower Hamlets",14052,312273,45.00
Newham,15583,351036,44.39
Haringey,11220,261811,42.86
Hillingdon,12397,310681,39.90
Brent,13213,344521,38.35
Greenwich,10866,289254,37.57
Lewisham,11225,299810,37.44
Ealing,13775,375340,36.70
Enfield,11805,327224,36.08
"Barking and Dagenham",7603,218869,34.74
"Waltham Forest",9610,278425,34.52
Hounslow,10021,290488,34.50
Croydon,13619,397741,34.24
Wandsworth,10303,328367,31.38
Redbridge,9433,310260,30.40
Bromley,9501,329991,28.79
Barnet,11369,395007,28.78
Havering,7494,264703,28.31
"Kingston upon Thames",4735,168302,28.13
Merton,5549,210709,26.33
Harrow,6634,263448,25.18
Bexley,6289,250853,25.07
Sutton,5038,209602,24.04
"Richmond upon Thames",4589,194894,23.55
