rounded_lat,rounded_lng,crime_count,percentage_of_lat_rounded
51.51,-0.13,7669,2.15
51.51,-0.14,3415,0.96
51.52,-0.13,3236,0.91
51.52,-0.14,2795,0.78
51.51,-0.15,2316,0.65
51.51,-0.12,1993,0.56
51.54,-0.14,1528,0.43
51.52,-0.17,1432,0.40
51.54,-0.01,1325,0.37
51.52,-0.07,1267,0.35
51.51,-0.22,1257,0.35
51.49,-0.10,1241,0.35
51.53,-0.12,1239,0.35
51.56,0.07,1206,0.34
51.52,-0.12,1145,0.32
51.46,-0.11,1132,0.32
51.38,-0.10,1124,0.31
51.53,-0.11,1122,0.31
51.50,-0.10,1108,0.31
51.53,-0.13,1091,0.31
51.50,-0.09,1083,0.30
51.50,-0.11,1068,0.30
51.56,-0.11,1066,0.30
51.37,-0.10,1058,0.30
51.54,0.08,1054,0.29
51.51,-0.16,1040,0.29
51.56,-0.12,1031,0.29
51.53,-0.09,1009,0.28
51.52,-0.06,1006,0.28
51.54,0.00,1004,0.28
51.53,-0.08,990,0.28
51.50,-0.14,966,0.27
51.56,-0.28,958,0.27
51.49,-0.14,958,0.27
51.47,-0.07,929,0.26
51.52,-0.16,912,0.26
51.41,-0.30,904,0.25
51.52,-0.20,902,0.25
51.51,-0.30,901,0.25
51.46,-0.01,891,0.25
51.50,-0.08,868,0.24
51.51,-0.32,865,0.24
51.51,-0.38,862,0.24
51.55,-0.08,855,0.24
51.58,0.18,839,0.23
51.52,-0.21,832,0.23
51.50,-0.13,827,0.23
51.53,-0.06,825,0.23
51.53,-0.14,821,0.23
51.55,-0.05,821,0.23
51.52,-0.15,813,0.23
51.60,-0.11,811,0.23
51.49,-0.22,808,0.23
51.50,-0.38,801,0.22
51.55,-0.30,797,0.22
51.52,-0.19,794,0.22
51.49,0.07,784,0.22
51.50,-0.16,782,0.22
51.53,-0.10,766,0.21
51.49,-0.12,764,0.21
51.47,-0.36,764,0.21
51.47,-0.09,758,0.21
51.46,-0.12,754,0.21
51.55,-0.06,752,0.21
51.50,-0.22,747,0.21
51.55,-0.48,743,0.21
51.59,-0.07,742,0.21
51.50,-0.12,739,0.21
51.54,-0.20,738,0.21
51.54,-0.10,734,0.21
51.54,-0.25,717,0.20
51.55,-0.11,717,0.20
51.52,-0.11,715,0.20
51.54,0.05,708,0.20
51.54,0.01,705,0.20
51.49,-0.19,696,0.19
51.43,-0.17,695,0.19
51.53,-0.03,691,0.19
51.52,-0.05,688,0.19
51.48,-0.13,686,0.19
51.62,-0.06,685,0.19
51.54,-0.19,682,0.19
51.49,-0.18,680,0.19
51.54,-0.15,678,0.19
51.48,-0.03,671,0.19
51.52,-0.08,667,0.19
51.50,-0.02,665,0.19
51.57,-0.11,665,0.19
51.58,-0.07,665,0.19
51.45,-0.02,664,0.19
51.49,-0.09,663,0.19
51.51,-0.06,660,0.18
51.58,-0.34,660,0.18
51.51,-0.23,657,0.18
51.47,-0.12,655,0.18
51.58,-0.02,654,0.18
51.53,-0.07,652,0.18
51.53,-0.20,646,0.18
51.52,-0.18,638,0.18
51.51,-0.07,638,0.18
51.51,-0.27,629,0.18
51.61,-0.07,627,0.18
51.49,-0.16,626,0.18
51.43,-0.13,620,0.17
51.55,-0.07,617,0.17
51.56,-0.13,614,0.17
51.49,-0.17,612,0.17
51.51,-0.02,598,0.17
51.57,-0.13,598,0.17
51.60,-0.07,597,0.17
51.59,-0.11,591,0.17
51.54,-0.06,587,0.16
51.49,-0.23,584,0.16
51.51,-0.09,582,0.16
51.55,-0.10,581,0.16
51.48,-0.20,580,0.16
51.56,0.08,575,0.16
51.55,-0.18,569,0.16
51.53,0.05,568,0.16
51.55,-0.14,565,0.16
51.46,-0.13,563,0.16
51.46,-0.17,562,0.16
51.52,-0.02,558,0.16
51.51,-0.19,553,0.15
51.49,-0.08,553,0.15
51.51,-0.20,552,0.15
51.50,-0.23,549,0.15
51.41,-0.31,549,0.15
51.47,-0.37,548,0.15
51.58,-0.08,546,0.15
51.54,0.04,540,0.15
51.54,0.03,540,0.15
51.56,-0.10,540,0.15
51.49,-0.15,538,0.15
51.46,-0.14,536,0.15
51.52,0.01,535,0.15
51.50,-0.19,532,0.15
51.39,-0.11,531,0.15
51.54,-0.08,530,0.15
51.57,-0.14,527,0.15
51.65,-0.06,525,0.15
51.49,-0.20,520,0.15
51.59,-0.06,517,0.14
51.48,-0.12,515,0.14
51.51,-0.03,514,0.14
51.36,-0.19,513,0.14
51.57,-0.07,508,0.14
51.53,0.02,505,0.14
51.44,-0.15,500,0.14
51.38,-0.09,499,0.14
51.38,-0.11,497,0.14
51.40,0.02,493,0.14
51.51,-0.01,493,0.14
51.48,-0.02,492,0.14
51.65,-0.08,491,0.14
51.56,-0.06,490,0.14
51.54,-0.12,489,0.14
51.47,-0.45,485,0.14
51.55,0.02,483,0.14
51.55,-0.23,482,0.13
51.48,-0.18,482,0.13
51.57,-0.10,481,0.13
51.55,-0.15,476,0.13
51.59,-0.10,474,0.13
51.51,-0.47,473,0.13
51.58,-0.03,472,0.13
51.48,-0.09,472,0.13
51.53,-0.21,470,0.13
51.51,-0.11,470,0.13
51.54,-0.05,467,0.13
51.60,-0.06,466,0.13
51.52,0.02,465,0.13
51.57,0.01,465,0.13
51.56,-0.07,463,0.13
51.55,-0.13,462,0.13
51.53,0.03,462,0.13
51.59,-0.02,461,0.13
51.40,-0.10,460,0.13
51.51,0.01,459,0.13
51.57,-0.12,457,0.13
51.63,-0.06,457,0.13
51.46,0.15,455,0.13
51.53,-0.17,455,0.13
51.48,-0.01,454,0.13
51.45,-0.41,452,0.13
51.46,-0.22,451,0.13
51.55,-0.16,451,0.13
51.62,-0.11,448,0.13
51.47,-0.49,446,0.12
51.49,-0.11,445,0.12
51.48,-0.07,445,0.12
51.57,-0.01,444,0.12
51.52,-0.04,442,0.12
51.55,-0.04,442,0.12
51.58,-0.10,441,0.12
51.61,-0.06,439,0.12
51.49,-0.21,437,0.12
51.54,-0.09,437,0.12
51.42,-0.20,434,0.12
51.55,0.03,433,0.12
51.53,-0.02,433,0.12
51.47,-0.02,433,0.12
51.50,-0.07,431,0.12
51.56,-0.14,430,0.12
51.51,-0.42,426,0.12
51.55,-0.24,420,0.12
51.53,-0.05,420,0.12
51.47,-0.15,419,0.12
51.58,-0.33,416,0.12
51.47,-0.17,416,0.12
51.52,-0.03,415,0.12
51.55,-0.12,408,0.11
51.54,-0.18,408,0.11
51.51,-0.04,408,0.11
51.59,-0.08,407,0.11
51.56,0.01,406,0.11
51.49,-0.07,406,0.11
51.59,-0.26,404,0.11
51.48,-0.10,403,0.11
51.50,-0.42,401,0.11
51.59,-0.28,396,0.11
51.55,0.01,396,0.11
51.56,-0.01,392,0.11
51.52,-0.10,390,0.11
51.52,-0.22,390,0.11
51.53,0.04,388,0.11
51.57,0.18,388,0.11
51.53,-0.04,387,0.11
51.61,-0.28,385,0.11
51.48,-0.11,385,0.11
51.51,-0.33,385,0.11
51.55,-0.01,383,0.11
51.55,-0.09,382,0.11
51.48,-0.08,381,0.11
51.59,-0.33,381,0.11
51.55,-0.20,380,0.11
51.52,0.05,378,0.11
51.53,0.06,378,0.11
51.50,-0.05,377,0.11
51.45,-0.12,377,0.11
51.49,0.06,377,0.11
51.47,-0.06,376,0.11
51.47,-0.11,375,0.10
51.55,-0.19,375,0.10
51.51,-0.21,374,0.10
51.55,0.06,374,0.10
51.49,0.09,374,0.10
51.51,-0.10,373,0.10
51.46,-0.30,373,0.10
51.56,-0.05,373,0.10
51.61,-0.14,372,0.10
51.49,-0.30,372,0.10
51.54,0.15,371,0.10
51.48,-0.06,371,0.10
51.49,-0.26,369,0.10
51.55,0.00,368,0.10
51.53,-0.19,368,0.10
51.44,-0.13,368,0.10
51.56,0.15,366,0.10
51.43,-0.05,366,0.10
51.52,-0.41,366,0.10
51.54,-0.07,364,0.10
51.49,-0.13,363,0.10
51.47,-0.10,361,0.10
51.41,-0.03,360,0.10
51.55,-0.17,360,0.10
51.51,-0.25,360,0.10
51.46,-0.08,359,0.10
51.60,-0.27,359,0.10
51.53,-0.01,357,0.10
51.49,-0.04,356,0.10
51.48,-0.19,355,0.10
51.57,0.11,353,0.10
51.54,-0.13,353,0.10
51.59,-0.04,352,0.10
51.56,-0.25,352,0.10
51.48,-0.14,350,0.10
51.42,-0.18,349,0.10
51.60,-0.34,349,0.10
51.51,-0.31,349,0.10
51.54,-0.11,348,0.10
51.60,-0.10,348,0.10
51.55,-0.26,347,0.10
51.48,0.07,346,0.10
51.51,-0.24,345,0.10
51.47,-0.46,344,0.10
51.41,-0.12,344,0.10
51.55,-0.22,343,0.10
51.57,-0.09,343,0.10
51.55,0.07,338,0.09
51.60,-0.25,337,0.09
51.52,-0.09,337,0.09
51.49,0.02,337,0.09
51.55,0.05,335,0.09
51.50,-0.06,335,0.09
51.56,-0.21,334,0.09
51.42,-0.14,334,0.09
51.46,-0.19,330,0.09
51.50,-0.17,329,0.09
51.52,-0.01,327,0.09
51.48,-0.05,326,0.09
51.58,-0.12,325,0.09
51.45,-0.24,325,0.09
51.48,-0.21,325,0.09
51.49,-0.06,325,0.09
51.40,-0.07,323,0.09
51.57,-0.02,323,0.09
51.66,-0.05,322,0.09
51.54,-0.30,321,0.09
51.51,-0.05,321,0.09
51.51,0.02,320,0.09
51.56,0.10,318,0.09
51.51,0.03,318,0.09
51.58,-0.22,317,0.09
51.57,-0.20,316,0.09
51.55,-0.25,316,0.09
51.41,-0.06,315,0.09
51.59,-0.25,314,0.09
51.45,-0.01,314,0.09
51.65,-0.05,314,0.09
51.47,-0.16,312,0.09
51.43,0.10,309,0.09
51.55,-0.21,309,0.09
51.56,-0.08,309,0.09
51.53,-0.27,308,0.09
51.39,-0.10,306,0.09
51.45,0.00,304,0.09
51.36,-0.15,304,0.09
51.47,-0.13,304,0.09
51.50,-0.01,303,0.08
51.49,0.08,302,0.08
51.59,-0.01,301,0.08
51.49,-0.05,301,0.08
51.55,0.08,301,0.08
51.56,-0.22,300,0.08
51.54,-0.26,300,0.08
51.42,-0.08,300,0.08
51.50,-0.39,300,0.08
51.41,-0.07,299,0.08
51.41,0.01,299,0.08
51.53,-0.35,298,0.08
51.61,-0.11,298,0.08
51.58,-0.01,297,0.08
51.53,0.08,296,0.08
51.63,-0.05,296,0.08
51.49,0.01,296,0.08
51.67,-0.04,294,0.08
51.48,-0.17,293,0.08
51.42,-0.16,291,0.08
51.60,-0.24,291,0.08
51.37,-0.19,291,0.08
51.48,-0.04,288,0.08
51.44,-0.11,286,0.08
51.59,0.08,285,0.08
51.44,-0.02,285,0.08
51.62,-0.18,284,0.08
51.44,-0.01,284,0.08
51.37,-0.20,283,0.08
51.50,-0.15,283,0.08
51.45,-0.15,283,0.08
51.40,-0.08,282,0.08
51.44,-0.12,282,0.08
51.44,-0.16,279,0.08
51.51,-0.18,277,0.08
51.43,-0.16,275,0.08
51.56,-0.09,275,0.08
51.49,0.12,274,0.08
51.55,-0.29,274,0.08
51.46,-0.04,274,0.08
51.54,-0.16,274,0.08
51.44,-0.41,274,0.08
51.57,-0.03,273,0.08
51.40,0.11,273,0.08
51.45,-0.33,273,0.08
51.59,0.00,272,0.08
51.38,-0.08,271,0.08
51.60,-0.02,271,0.08
51.54,0.07,270,0.08
51.47,-0.03,270,0.08
51.43,-0.02,270,0.08
51.51,-0.37,270,0.08
51.46,-0.16,270,0.08
51.61,-0.02,268,0.07
51.50,-0.18,268,0.07
51.54,-0.24,266,0.07
51.59,-0.09,266,0.07
51.42,-0.21,266,0.07
51.45,-0.19,265,0.07
51.43,-0.18,265,0.07
51.56,-0.18,264,0.07
51.54,-0.03,264,0.07
51.41,-0.16,263,0.07
51.50,-0.21,262,0.07
51.44,-0.17,262,0.07
51.57,0.19,261,0.07
51.43,-0.04,261,0.07
51.48,-0.31,260,0.07
51.53,-0.22,260,0.07
51.42,-0.13,259,0.07
51.61,-0.21,258,0.07
51.48,-0.15,258,0.07
51.46,-0.20,257,0.07
51.50,-0.24,257,0.07
51.36,-0.12,257,0.07
51.56,-0.29,256,0.07
51.37,-0.11,256,0.07
51.47,-0.08,254,0.07
51.41,-0.05,254,0.07
51.41,-0.18,254,0.07
51.58,-0.09,254,0.07
51.38,0.10,253,0.07
51.61,0.22,253,0.07
51.47,-0.19,253,0.07
51.50,0.01,253,0.07
51.50,-0.46,252,0.07
51.46,0.00,250,0.07
51.57,-0.06,250,0.07
51.55,-0.03,250,0.07
51.53,0.01,249,0.07
51.59,-0.03,249,0.07
51.64,-0.05,249,0.07
51.61,-0.08,249,0.07
51.57,0.00,249,0.07
51.52,0.04,246,0.07
51.40,-0.12,246,0.07
51.56,0.00,246,0.07
51.63,-0.13,245,0.07
51.59,-0.22,245,0.07
51.43,0.02,245,0.07
51.47,-0.18,245,0.07
51.43,-0.10,244,0.07
51.58,0.00,244,0.07
51.52,-0.26,244,0.07
51.53,-0.18,244,0.07
51.46,0.14,243,0.07
51.41,-0.17,243,0.07
51.40,-0.09,243,0.07
51.58,-0.20,242,0.07
51.46,-0.02,242,0.07
51.44,-0.05,242,0.07
51.46,-0.18,241,0.07
51.46,0.11,241,0.07
51.50,-0.20,241,0.07
51.54,0.02,240,0.07
51.43,-0.03,239,0.07
51.50,-0.43,238,0.07
51.39,-0.07,238,0.07
51.47,-0.01,238,0.07
51.50,0.00,236,0.07
51.45,0.18,234,0.07
51.64,-0.04,234,0.07
51.41,0.02,231,0.06
51.51,0.07,231,0.06
51.37,-0.12,231,0.06
51.57,0.13,230,0.06
51.45,-0.04,230,0.06
51.58,0.11,230,0.06
51.54,0.06,226,0.06
51.62,-0.07,226,0.06
51.60,-0.19,225,0.06
51.59,-0.23,225,0.06
51.54,-0.02,225,0.06
51.45,0.05,225,0.06
51.49,-0.31,224,0.06
51.40,-0.11,223,0.06
51.39,-0.12,223,0.06
51.61,-0.18,222,0.06
51.47,-0.35,222,0.06
51.56,-0.40,222,0.06
51.47,-0.05,222,0.06
51.40,-0.19,222,0.06
51.52,-0.36,221,0.06
51.57,-0.08,221,0.06
51.54,-0.04,221,0.06
51.49,-0.28,220,0.06
51.48,0.10,220,0.06
51.53,0.14,219,0.06
51.43,0.05,219,0.06
51.50,-0.40,219,0.06
51.53,-0.48,218,0.06
51.49,-0.24,218,0.06
51.49,0.11,218,0.06
51.54,0.13,217,0.06
51.47,-0.39,217,0.06
51.43,-0.06,217,0.06
51.41,-0.29,217,0.06
51.48,0.08,217,0.06
51.45,0.06,217,0.06
51.48,0.18,216,0.06
51.53,-0.28,215,0.06
51.52,-0.48,215,0.06
51.44,-0.03,215,0.06
51.53,-0.40,215,0.06
51.37,-0.09,214,0.06
51.51,-0.39,214,0.06
51.52,0.03,213,0.06
51.43,0.01,213,0.06
51.56,0.12,212,0.06
51.40,-0.17,212,0.06
51.56,-0.36,212,0.06
51.45,-0.13,211,0.06
51.46,-0.07,211,0.06
51.49,0.05,211,0.06
51.61,0.00,211,0.06
51.55,0.11,210,0.06
51.57,0.10,209,0.06
51.61,-0.12,209,0.06
51.57,-0.35,209,0.06
51.46,0.03,209,0.06
51.59,-0.14,208,0.06
51.54,-0.17,208,0.06
51.57,0.12,207,0.06
51.42,-0.05,207,0.06
51.58,-0.24,206,0.06
51.46,0.13,206,0.06
51.48,-0.41,206,0.06
51.48,-0.22,206,0.06
51.59,-0.12,205,0.06
51.53,-0.37,205,0.06
51.42,-0.06,204,0.06
51.55,0.20,204,0.06
51.50,-0.37,204,0.06
51.58,0.03,204,0.06
51.39,0.11,203,0.06
51.49,-0.25,203,0.06
51.60,-0.08,203,0.06
51.53,-0.39,203,0.06
51.58,0.19,202,0.06
51.54,-0.48,202,0.06
51.58,-0.35,201,0.06
51.61,-0.27,201,0.06
51.47,-0.14,201,0.06
51.40,-0.13,201,0.06
51.60,-0.09,201,0.06
51.55,0.12,200,0.06
51.39,-0.09,200,0.06
51.52,0.06,200,0.06
51.54,0.16,199,0.06
51.47,-0.38,199,0.06
51.49,0.15,199,0.06
51.53,-0.23,199,0.06
51.47,-0.22,199,0.06
51.52,-0.46,199,0.06
51.65,-0.04,199,0.06
51.46,-0.10,198,0.06
51.47,-0.33,198,0.06
51.47,0.18,197,0.06
51.42,-0.15,197,0.06
51.43,-0.19,197,0.06
51.56,0.22,197,0.06
51.56,-0.20,196,0.05
51.50,0.12,196,0.05
51.52,-0.43,196,0.05
51.51,-0.35,196,0.05
51.66,-0.06,196,0.05
51.41,-0.14,194,0.05
51.42,-0.19,194,0.05
51.46,-0.38,194,0.05
51.60,0.22,194,0.05
51.56,0.13,193,0.05
51.58,0.07,193,0.05
51.46,-0.37,193,0.05
51.36,-0.10,193,0.05
51.51,-0.34,193,0.05
51.63,-0.07,193,0.05
51.53,-0.46,192,0.05
51.51,-0.26,192,0.05
51.62,-0.08,192,0.05
51.48,0.09,192,0.05
51.58,-0.23,191,0.05
51.50,0.03,191,0.05
51.38,-0.18,190,0.05
51.55,-0.37,190,0.05
51.48,0.03,190,0.05
51.49,-0.02,189,0.05
51.48,-0.48,189,0.05
51.49,0.10,189,0.05
51.58,0.14,188,0.05
51.53,-0.45,188,0.05
51.38,-0.03,188,0.05
51.36,-0.09,188,0.05
51.51,0.00,188,0.05
51.39,-0.30,188,0.05
